Index;Country or area;Country code;Capital City;Note;Capital Type;City code;Latitude;Longitude;Population
100;Honduras;340;Tegucigalpa;;Capital;21136;14,0818;-87,2068;  1 363
101;Hungary;348;Budapest;;Capital;21138;47,4980;19,0399;  1 759
102;Iceland;352;Reykjavík;;Capital;21147;64,1355;-21,8954;   216
103;India;356;Delhi;37;Capital;21228;28,6667;77,2167;  28 514
104;Indonesia;360;Jakarta;38;Capital;21454;-6,2118;106,8416;  10 517
105;Iran (Islamic Republic of);364;Tehran;;Capital;21523;35,6944;51,4215;  8 896
106;Iraq;368;Baghdad;;Capital;21529;33,3406;44,4009;  6 812
107;Ireland;372;Dublin;;Capital;21542;53,3331;-6,2489;  1 201
108;Isle of Man;833;Douglas;;Capital;22892;54,1500;-4,4833;   27
109;Israel;376;Jerusalem;39;Capital;21547;31,7690;35,2163;   907
110;Italy;380;Roma (Rome);40;Capital;21588;41,8947;12,4811;  4 210
111;Jamaica;388;Kingston;;Capital;21607;17,9970;-76,7936;   589
112;Japan;392;Tokyo;41;Capital;21671;35,6895;139,6917;  37 468
113;Jordan;400;Amman;;Capital;21700;31,9552;35,9450;  2 065
114;Kazakhstan;398;Astana;;Capital;21679;51,1801;71,4460;  1 068
115;Kenya;404;Nairobi;;Capital;21711;-1,2833;36,8167;  4 386
116;Kiribati;296;Tarawa;42;Capital;21112;1,3272;172,9813;   64
117;Kuwait;414;Al Kuwayt (Kuwait City);43;Capital;21769;29,3697;47,9783;  2 989
118;Kyrgyzstan;417;Bishkek;;Capital;21770;42,8700;74,5900;   996
119;Lao People's Democratic Republic;418;Vientiane;;Capital;21772;17,9667;102,6000;   665
120;Latvia;428;Riga;;Capital;21778;56,9460;24,1059;   637
121;Lebanon;422;Bayrut (Beirut);44;Capital;21773;33,9000;35,4833;  2 385
122;Lesotho;426;Maseru;;Capital;21775;-29,3167;27,4833;   202
123;Liberia;430;Monrovia;;Capital;21779;6,3005;-10,7969;  1 418
124;Libya;434;Tarabulus (Tripoli);;Capital;21782;32,8752;13,1875;  1 158
125;Liechtenstein;438;Vaduz;;Capital;21783;47,1415;9,5215;   5
126;Lithuania;440;Vilnius;;Capital;21789;54,6892;25,2798;   536
127;Luxembourg;442;Luxembourg;;Capital;21790;49,6117;6,1300;   120
128;Madagascar;450;Antananarivo;;Capital;21792;-18,9137;47,5361;  3 058
129;Malawi;454;Lilongwe;;Capital;21799;-13,9669;33,7873;  1 030
130;Malaysia;458;Kuala Lumpur;45;Capital;206411;3,1412;101,6865;  7 564
131;Maldives;462;Male;;Capital;21817;4,1748;73,5089;   177
132;Mali;466;Bamako;;Capital;21818;12,6500;-8,0000;  2 447
133;Malta;470;Valletta;46;Capital;21819;35,8997;14,5147;   213
134;Marshall Islands;584;Majuro;;Capital;22033;7,0897;171,3803;   31
135;Martinique;474;Fort-de-France;;Capital;21820;14,6089;-61,0733;   79
136;Mauritania;478;Nouakchott;;Capital;21821;18,0858;-15,9785;  1 205
137;Mauritius;480;Port Louis;;Capital;21822;-20,1619;57,4989;   149
138;Mayotte;175;Mamoudzou;;Capital;205636;-12,7794;45,2272;   6
139;Mexico;484;Ciudad de México (Mexico City);47;Capital;21853;19,4273;-99,1419;  21 581
140;Micronesia (Fed. States of);583;Palikir;;Capital;22032;6,9174;158,1588;   7
141;Monaco;492;Monaco;;Capital;21881;43,7333;7,4167;   39
142;Mongolia;496;Ulaanbaatar;;Capital;21882;47,9077;106,8832;  1 520
143;Montenegro;499;Podgorica;48;Capital;23256;42,4411;19,2636;   177
144;Montserrat;500;Brades Estate;49;Capital;204440;16,7918;-62,2106;   0
145;Morocco;504;Rabat;50;Capital;21899;34,0133;-6,8326;  1 847
146;Mozambique;508;Maputo;;Capital;21910;-25,9653;32,5892;  1 102
147;Myanmar;104;Nay Pyi Taw;;Capital;205588;19,7450;96,1297;   500
148;Namibia;516;Windhoek;;Capital;21925;-22,5594;17,0832;   404
149;Nauru;520;Nauru;;Capital;21926;-0,5308;166,9112;   11
150;Nepal;524;Kathmandu;51;Capital;21928;27,7017;85,3206;  1 330
151;Netherlands;528;Amsterdam;;Capital;21930;52,3740;4,8897;  1 132
152;Netherlands;528;s-Gravenhage (The Hague);52;Seat of Government;205146;52,0767;4,2986;   685
153;New Caledonia;540;Nouméa;;Capital;21955;-22,2763;166,4572;   198
154;New Zealand;554;Wellington;53;Capital;21962;-41,2866;174,7756;   411
155;Nicaragua;558;Managua;;Capital;21967;12,1328;-86,2504;  1 048
156;Niger;562;Niamey;;Capital;21972;13,5137;2,1098;  1 214
157;Nigeria;566;Abuja;54;Capital;21976;9,0574;7,4898;  2 919
158;Niue;570;Alofi;;Capital;22025;-19,0585;-169,9213;   1
159;Northern Mariana Islands;580;Saipan;55;Capital;22031;15,2123;145,7545;   51
160;Norway;578;Oslo;;Capital;22028;59,9127;10,7461;  1 012
161;Oman;512;Masqat (Muscat);56;Capital;21922;23,6139;58,5922;  1 447
162;Pakistan;586;Islamabad;;Capital;22042;33,7035;73,0594;  1 061
163;Palau;585;Koror;;Capital;22034;7,3426;134,4789;   11
164;Panama;591;Ciudad de Panamá (Panama City);57;Capital;22063;8,9958;-79,5196;  1 783
165;Papua New Guinea;598;Port Moresby;;Capital;22064;-9,4431;147,1797;   367
166;Paraguay;600;Asunción;58;Capital;22065;-25,3007;-57,6359;  3 222
